,Order,Member,products,current_date,p1,p2,p3
14,6704782,M09736,"['Sugar Cubes', 'Namkeen', 'Urad Dal', 'Other Rice Products', 'Other Dals', 'Boiled Rice', 'Sugar', 'Toor Dal', 'Soya Products']",2456861.5,2456856.5,2456851.5,2456839.5
15,6687487,M09736,"['Cookies', 'Namkeen', 'Sugar', 'Banana', 'Other Dals']",2456856.5,2456851.5,2456839.5,2456835.5
16,6734605,M09736,"['Beans', 'Urad Dal', 'Other Vegetables', 'Root Vegetables', 'Sugar', 'Organic F&V', 'Soya Products', 'Snacky Nuts', 'Other Dals', 'Cashews', 'Toor Dal']",2456851.5,2456839.5,2456835.5,2456830.5
17,8282353,M09736,"['Liquid Soaps & Bars', 'Other Dry Fruits', 'Cashews', 'Other Dals', 'Washing Bars', 'Whole Spices', 'Bread', 'Boiled Rice', 'Other Vegetables', 'Sugar']",2456839.5,2456835.5,2456830.5,2456823.5
18,6811376,M09736,"['Cookies', 'Jaggery', 'Namkeen', 'Toor Dal', 'Eggs', 'Root Vegetables', 'Sugar Cubes', 'Banana', 'Snacky Nuts', 'Beans', 'Raisins']",2456835.5,2456830.5,2456823.5,2456816.5
19,6794402,M09736,"['Other Vegetables', 'Washing Bars', 'Urad Dal', 'Cashews', 'Powdered Spices', 'Other Rice Products', 'Moong Dal', 'Snacky Nuts', 'Other Dals', 'Raisins', 'Root Vegetables', 'Boiled Rice', 'Eggs', 'Sugar', 'Beans', 'Almonds', 'Banana']",2456830.5,2456823.5,2456816.5,2456800.5
20,7887787,M09736,"['Snacky Nuts', 'Sugar', 'Corn Snacks', 'Boiled Rice', 'Banana']",2456823.5,2456816.5,2456800.5,2456794.5
21,6624000,M09736,"['Organic F&V', 'Sunflower Oils', 'Other Rice Products', 'Namkeen', 'Banana', 'Sugar Cubes']",2456816.5,2456800.5,2456794.5,2456784.5
22,7948600,M09736,"['Namkeen', 'Sugar Cubes', 'Banana', 'Ghee', 'Liquid Soaps & Bars', 'Snacky Nuts', 'Other Dals', 'Corn Snacks', 'Boiled Rice', 'Beans', 'Root Vegetables', 'Raisins', 'Sugar', 'Urad Dal']",2456800.5,2456794.5,2456784.5,2456781.5
23,7931131,M09736,"['Whole Spices', 'Other Rice Products', 'Cashews', 'Beans', 'Sunflower Oils', 'Root Vegetables', 'Almonds', 'Banana', 'Namkeen', 'Snacky Nuts', 'Other Vegetables', 'Soya Products', 'Washing Bars', 'Other Dals', 'Boiled Rice', 'Sugar Cubes', 'Sugar', 'Urad Dal']",2456794.5,2456784.5,2456781.5,2456778.5
24,6774006,M09736,"['Urad Dal', 'Liquid Soaps & Bars', 'Other Rice Products', 'Avalakki / Poha', 'Whole Spices', 'Sugar', 'Besan', 'Boiled Rice', 'Other Dals', 'Raw Rice', 'Snacky Nuts', 'Banana', 'Other Vegetables']",2456784.5,2456781.5,2456778.5,2456774.5
25,8087495,M09736,"['Snacky Nuts', 'Sugar Cubes', 'Soya Products', 'Other Vegetables', 'Urad Dal', 'Cream Biscuits', 'Other Dals', 'Raisins', 'Moong Dal', 'Other Rice Products', 'Toor Dal', 'Beans', 'Root Vegetables', 'Sugar', 'Banana']",2456781.5,2456778.5,2456774.5,2456767.5
26,8280028,M09736,"['Beans', 'Other Vegetables', 'Eggs', 'Namkeen', 'Banana', 'Root Vegetables', 'Wafers']",2456778.5,2456774.5,2456767.5,2456765.5
27,8008269,M09736,"['Other Rice Products', 'Other Dals', 'Cream Biscuits', 'Other Vegetables', 'Beans', 'Urad Dal', 'Sunflower Oils', 'Toor Dal', 'Root Vegetables', 'Instant Noodles', 'Banana', 'Boiled Rice', 'Liquid Soaps & Bars', 'Sugar']",2456774.5,2456767.5,2456765.5,2456756.5
28,8057553,M09736,"['Moong Dal', 'Washing Bars', 'Boiled Rice', 'Snacky Nuts', 'Shaving Cream, Foam & Gels', 'Sugar Cubes', 'Namkeen', 'Banana', 'Root Vegetables']",2456767.5,2456765.5,2456756.5,2456752.5
29,8052390,M09736,"['Cashews', 'Whole Spices', 'Beans', 'Root Vegetables', 'Jaggery', 'Liquid Soaps & Bars', 'Raisins', 'Sugar Cubes', 'Other Rice Products', 'Cakes', 'Sugar', 'Gourd & Cucumber', 'Health Drinks']",2456765.5,2456756.5,2456752.5,2456750.5
30,6529569,M09736,"['Sugar', 'Jaggery', 'Root Vegetables', 'Cakes', 'Urad Dal', 'Namkeen', 'Other Vegetables', 'Moong Dal', 'Banana', 'Other Dals', 'Raisins', 'Toor Dal', 'Cashews', 'Healthy Snacks']",2456756.5,2456752.5,2456750.5,2456745.5
31,8026271,M09736,"['Jaggery', 'Whole Spices', 'Besan', 'Namkeen', 'Other Vegetables', 'Cream Biscuits', 'Beans', 'Cakes', 'Banana']",2456752.5,2456750.5,2456745.5,2456742.5
32,8143489,M09736,"['Eggs', 'Namkeen', 'Banana', 'Other Dals', 'Beans', 'Gourd & Cucumber', 'Root Vegetables', 'Brinjals', 'Other Vegetables', 'Soya Products', 'Hair Oil', 'Raisins']",2456750.5,2456745.5,2456742.5,2456737.5
33,8068900,M09736,"['Snacky Nuts', 'Bread', 'Cashews', 'Namkeen', 'Banana']",2456745.5,2456742.5,2456737.5,2456731.5
34,8062224,M09736,"['Snacky Nuts', 'Banana', 'Eggs', 'Sugar', 'Beans', 'Other Vegetables', 'Liquid Soaps & Bars', 'Urad Dal', 'Sugar Cubes', 'Raisins', 'Washing Bars']",2456742.5,2456737.5,2456731.5,2456716.5
35,8116554,M09736,"['Brinjals', 'Other Dals', 'Banana', 'Whole Spices', 'Beans', 'Bread', 'Other Rice Products', 'Boiled Rice', 'Root Vegetables', 'Almonds', 'Snacky Nuts']",2456737.5,2456731.5,2456716.5,2456710.5
36,8104219,M09736,"['Other Vegetables', 'Namkeen', 'Beans', 'Sugar Cubes', 'Snacky Nuts', 'Jaggery', 'Other Sweets', 'Sugar', 'Bread', 'Banana', 'Root Vegetables']",2456731.5,2456716.5,2456710.5,2456709.5
37,8132674,M09736,"['Banana', 'Beans', 'Toor Dal', 'Almonds', 'Other Dals', 'Root Vegetables', 'Sugar Cubes', 'Boiled Rice', 'Sugar', 'Other Vegetables', 'Other Rice Products', 'Snacky Nuts', 'Bread', 'Eggs', 'Namkeen']",2456716.5,2456710.5,2456709.5,2456703.5
38,8184240,M09736,"['Cream Biscuits', 'Eggs', 'Whole Spices', 'Snacky Nuts', 'Root Vegetables', 'Banana']",2456710.5,2456709.5,2456703.5,2456688.5
39,8181410,M09736,"['Shoe Polish', 'Eggs', 'Washing Bars', 'Beans', 'Whole Spices', 'Raisins', 'Sugar', 'Urad Dal', 'Other Dry Fruits']",2456709.5,2456703.5,2456688.5,2456682.5
40,8166849,M09736,"['Other Rice Products', 'Root Vegetables', 'Raisins', 'Banana', 'Gourd & Cucumber', 'Beans', 'Soya Products', 'Boiled Rice', 'Sugar Cubes', 'Other Dals', 'Eggs', 'Liquid Soaps & Bars', 'Corn Snacks', 'Ghee', 'Almonds', 'Other Vegetables', 'Snacky Nuts']",2456703.5,2456688.5,2456682.5,2456674.5
41,8199070,M09736,"['Corn Snacks', 'Raisins', 'Snacky Nuts', 'Cashews', 'Other Dals', 'Bread', 'Sugar Cubes', 'Beans', 'Root Vegetables', 'Sugar', 'Eggs', 'Toor Dal', 'Banana']",2456688.5,2456682.5,2456674.5,2456665.5
42,8251239,M09736,"['Gourd & Cucumber', 'Face Wash', 'Urad Dal', 'Bread', 'Other Rice Products', 'Eggs', 'Beans', 'Root Vegetables', 'Banana', 'Whole Spices', 'Raisins', 'Other Vegetables', 'Yogurt & Lassi', 'Corn Snacks', 'Washing Bars']",2456682.5,2456674.5,2456665.5,2456639.5
43,8235993,M09736,"['Brinjals', 'Gourd & Cucumber', 'Sugar', 'Banana', 'Moong Dal', 'Cream Biscuits', 'Beans', 'Corn Snacks', 'Root Vegetables', 'Liquid Soaps & Bars', 'Soya Products', 'Almonds', 'Other Dals', 'Namkeen', 'Bread', 'Other Vegetables']",2456674.5,2456665.5,2456639.5,2456485.5
44,6672349,M09736,"['Sugar', 'Other Dals', 'Whole Spices', 'Urad Dal', 'Sugar Cubes', 'Namkeen', 'Toor Dal', 'Boiled Rice', 'Cream Biscuits', 'Other Vegetables', 'Jaggery', 'Beans']",2456665.5,2456639.5,2456485.5,0.0
45,8303490,M09736,"['Boiled Rice', 'Bread', 'Whole Spices', 'Cashews', 'Ground Coffee', 'Namkeen', 'Other Dals', 'Other Rice Products', 'Wafers', 'Cream Biscuits', 'Banana', 'Instant Pastas', 'Eggs', 'Soya Products']",2456639.5,0.0,0.0,0.0
46,8355751,M09736,"['Jaggery', 'Root Vegetables', 'Instant Pastas', 'Namkeen', 'Eggs', 'Sugar', 'Other Rice Products', 'Beans', 'Banana', 'Other Vegetables']",2456485.5,2456485.5,0.0,0.0
47,8287900,M39021,"['Brinjals', 'Other Vegetables', 'Root Vegetables', 'Sunflower Oils', 'Cooking Paste', 'Beans', 'Gourd & Cucumber']",2456931.5,2456928.5,2456900.5,2456892.5
48,6422636,M39021,"['Sunflower Oils', 'Brinjals', 'Root Vegetables', 'Other Vegetables', 'Whole Spices', 'Gourd & Cucumber', 'Beans', 'Toor Dal', 'Other Sweets', 'Avalakki / Poha']",2456928.5,2456900.5,2456892.5,2456872.5
49,6580213,M39021,"['Gourd & Cucumber', 'Beans', 'Sunflower Oils', 'Toor Dal', 'Other Vegetables', 'Avalakki / Poha']",2456900.5,2456892.5,2456872.5,2456871.5
50,6615154,M39021,"['Other Vegetables', 'Avalakki / Poha', 'Beans', 'Boiled Rice', 'Sunflower Oils', 'Root Vegetables', 'Other Dals', 'Urad Dal', 'Brinjals', 'Gourd & Cucumber', 'Toor Dal']",2456892.5,2456872.5,2456871.5,2456865.5
51,8153274,M39021,"['Gourd & Cucumber', 'Root Vegetables', 'Beans', 'Sooji & Rava', 'Other Vegetables', 'Other Rice Products', 'Sunflower Oils', 'Toor Dal', 'Urad Dal', 'Raw Peanuts', 'Whole Spices', 'Avalakki / Poha', 'Boiled Rice']",2456872.5,2456871.5,2456865.5,2456858.5
52,8218020,M39021,"['Whole Spices', 'Root Vegetables', 'Other Vegetables', 'Gourd & Cucumber', 'Other Dals', 'Sunflower Oils', 'Beans', 'Sugar', 'Sooji & Rava', 'Cooking Paste', 'Toor Dal']",2456871.5,2456865.5,2456858.5,2456851.5
53,6653255,M39021,"['Beans', 'Sunflower Oils', 'Root Vegetables', 'Sooji & Rava', 'Avalakki / Poha', 'Toor Dal', 'Gourd & Cucumber', 'Other Vegetables']",2456865.5,2456858.5,2456851.5,2456844.5
54,6694996,M39021,"['Cooking Paste', 'Sunflower Oils', 'Beans', 'Sooji & Rava', 'Avalakki / Poha', 'Other Vegetables', 'Brinjals', 'Whole Spices', 'Root Vegetables']",2456858.5,2456851.5,2456844.5,2456837.5
55,6737225,M39021,"['Cooking Paste', 'Root Vegetables', 'Beans', 'Other Vegetables', 'Gourd & Cucumber', 'Sunflower Oils', 'Toor Dal', 'Urad Dal', 'Whole Spices']",2456851.5,2456844.5,2456837.5,2456830.5
56,7864769,M39021,"['Gourd & Cucumber', 'Brinjals', 'Jaggery', 'Other Vegetables', 'Root Vegetables', 'Sunflower Oils', 'Toor Dal', 'Beans', 'Cooking Paste']",2456844.5,2456837.5,2456830.5,2456817.5
57,6752976,M39021,"['Whole Spices', 'Toor Dal', 'Gourd & Cucumber', 'Raw Peanuts', 'Sunflower Oils', 'Beans', 'Boiled Rice', 'Root Vegetables']",2456837.5,2456830.5,2456817.5,2456815.5
58,6797135,M39021,"['Beans', 'Root Vegetables', 'Toor Dal', 'Other Flours', 'Other Vegetables', 'Urad Dal', 'Sunflower Oils', 'Cooking Paste', 'Other Rice Products', 'Gourd & Cucumber', 'Boiled Rice']",2456830.5,2456817.5,2456815.5,2456802.5
59,6535983,M39021,"['Sunflower Oils', 'Other Vegetables', 'Beans', 'Boiled Rice', 'Root Vegetables', 'Whole Spices', 'Other Dals', 'Gourd & Cucumber', 'Urad Dal', 'Raw Peanuts']",2456817.5,2456815.5,2456802.5,2456795.5
60,6777380,M39021,"['Sunflower Oils', 'Other Rice Products', 'Root Vegetables', 'Other Vegetables', 'Boiled Rice', 'Brinjals']",2456815.5,2456802.5,2456795.5,2456766.5
61,7953630,M39021,"['Beans', 'Boiled Rice', 'Brinjals', 'Raw Peanuts', 'Sunflower Oils']",2456802.5,2456795.5,2456766.5,2456752.5
62,7934637,M39021,"['Sunflower Oils', 'Beans', 'Other Vegetables', 'Brinjals', 'Other Dry Fruits', 'Gourd & Cucumber', 'Jaggery', 'Root Vegetables']",2456795.5,2456766.5,2456752.5,2456748.5
63,8056807,M39021,"['Gourd & Cucumber', 'Other Rice Products', 'Sunflower Oils', 'Root Vegetables', 'Beans', 'Boiled Rice', 'Other Vegetables', 'Toor Dal']",2456766.5,2456752.5,2456748.5,2456746.5
64,7963049,M39021,"['Beans', 'Sooji & Rava', 'Root Vegetables', 'Other Vegetables', 'Sunflower Oils', 'Sugar', 'Avalakki / Poha', 'Toor Dal']",2456752.5,2456748.5,2456746.5,2456738.5
65,8277611,M39021,"['Sunflower Oils', 'Beans', 'Other Vegetables', 'Bread', 'Other Rice Products', 'Avalakki / Poha', 'Root Vegetables', 'Brinjals', 'Other Dals', 'Whole Spices', 'Soya Products', 'Sugar', 'Raw Peanuts']",2456748.5,2456746.5,2456738.5,2456731.5
66,8072678,M39021,"['Moong Dal', 'Beans', 'Other Vegetables', 'Toor Dal', 'Root Vegetables', 'Raw Peanuts', 'Sunflower Oils']",2456746.5,2456738.5,2456731.5,2456718.5
67,8119831,M39021,"['Brinjals', 'Sunflower Oils', 'Other Dals', 'Gourd & Cucumber', 'Toor Dal', 'Boiled Rice', 'Beans', 'Root Vegetables', 'Cooking Paste', 'Avalakki / Poha', 'Whole Spices']",2456738.5,2456731.5,2456718.5,2456710.5
68,8104639,M39021,"['Beans', 'Sunflower Oils', 'Root Vegetables', 'Avalakki / Poha', 'Other Vegetables', 'Other Dals']",2456731.5,2456718.5,2456710.5,2456703.5
69,8206332,M39021,"['Avalakki / Poha', 'Sunflower Oils', 'Vermicelli', 'Other Vegetables', 'Raw Peanuts', 'Beans', 'Brinjals', 'Root Vegetables']",2456718.5,2456710.5,2456703.5,2456696.5
70,8185358,M39021,"['Avalakki / Poha', 'Gourd & Cucumber', 'Sunflower Oils', 'Beans', 'Other Vegetables', 'Root Vegetables', 'Vermicelli', 'Cooking Paste']",2456710.5,2456703.5,2456696.5,2456683.5
71,8169248,M39021,"['Other Dals', 'Sugar', 'Avalakki / Poha', 'Cooking Paste', 'Sunflower Oils', 'Other Vegetables', 'Urad Dal', 'Boiled Rice', 'Mosquito Repellent', 'Root Vegetables']",2456703.5,2456696.5,2456683.5,2456663.5
72,6672883,M39021,"['Gourd & Cucumber', 'Beans', 'Other Dals', 'Toor Dal', 'Other Vegetables', 'Sunflower Oils', 'Brinjals', 'Urad Dal', 'Avalakki / Poha', 'Raw Peanuts', 'Cooking Paste']",2456696.5,2456683.5,2456663.5,2456660.5
73,8255058,M39021,"['Whole Spices', 'Other Dals', 'Root Vegetables', 'Beans', 'Brinjals', 'Urad Dal', 'Other Vegetables', 'Sunflower Oils', 'Cooking Paste']",2456683.5,2456663.5,2456660.5,2456654.5
74,7911131,M39021,"['Gourd & Cucumber', 'Toor Dal', 'Other Rice Products', 'Urad Dal', 'Beans', 'Boiled Rice', 'Other Vegetables', 'Brinjals', 'Root Vegetables']",2456663.5,2456660.5,2456654.5,2456649.5
75,8137335,M39021,"['Beans', 'Other Flours', 'Sooji & Rava', 'Other Rice Products', 'Boiled Rice', 'Gourd & Cucumber', 'Root Vegetables', 'Other Vegetables', 'Sunflower Oils']",2456660.5,2456654.5,2456649.5,2456615.5
76,8262067,M39021,"['Root Vegetables', 'Toor Dal', 'Beans', 'Sunflower Oils', 'Other Vegetables', 'Cooking Paste', 'Cookies']",2456654.5,2456649.5,2456615.5,2456607.5
77,8319742,M39021,"['Gourd & Cucumber', 'Almonds', 'Other Vegetables', 'Beans', 'Root Vegetables', 'Brinjals', 'Sugar', 'Toor Dal', 'Sunflower Oils']",2456649.5,2456615.5,2456607.5,2456581.5
78,8388492,M39021,"['Beans', 'Urad Dal', 'Mosquito Repellent', 'Brinjals', 'Other Dals', 'Sunflower Oils', 'Other Rice Products', 'Boiled Rice', 'Root Vegetables', 'Raw Peanuts']",2456615.5,2456607.5,2456581.5,2456574.5
79,8372534,M39021,"['Brinjals', 'Beans', 'Root Vegetables', 'Boiled Rice', 'Other Dry Fruits', 'Almonds', 'Sunflower Oils', 'Glucose, Marie & Milk Biscuits']",2456607.5,2456581.5,2456574.5,2456564.5
80,7347734,M39021,"['Other Dals', 'Urad Dal', 'Sunflower Oils', 'Sugar', 'Avalakki / Poha']",2456581.5,2456574.5,2456564.5,2456529.5
81,7417716,M39021,"['Bread', 'Root Vegetables', 'Brinjals', 'Other Vegetables', 'Sunflower Oils']",2456574.5,2456564.5,2456529.5,2456517.5
82,7385844,M39021,"['Root Vegetables', 'Brinjals', 'Sunflower Oils', 'Beans']",2456564.5,2456529.5,2456517.5,2456516.5
83,7456166,M39021,"['Sunflower Oils', 'Bread', 'Root Vegetables', 'Namkeen', 'Beans', 'Brinjals', 'Other Vegetables', 'Chilli & Soya Sauces']",2456529.5,2456517.5,2456516.5,2456502.5
84,7503561,M39021,"['Sunflower Oils', 'Root Vegetables', 'Other Vegetables', 'Brinjals', 'Bread']",2456517.5,2456516.5,2456502.5,2456483.5
85,8291837,M39021,"['Raw Peanuts', 'Sunflower Oils', 'Beans', 'Other Vegetables', 'Toor Dal', 'Root Vegetables', 'Whole Spices', 'Brinjals', 'Cooking Paste']",2456516.5,2456502.5,2456483.5,2456359.5
86,7477482,M39021,"['Avalakki / Poha', 'Root Vegetables', 'Raw Rice', 'Brinjals', 'Other Vegetables']",2456502.5,2456483.5,2456359.5,2456301.5
87,7399130,M39021,"['Urad Dal', 'Other Rice Products', 'Boiled Rice', 'Whole Spices', 'Raw Rice', 'Avalakki / Poha', 'Shaving Brush']",2456483.5,2456359.5,2456301.5,0.0
88,7486720,M39021,"['Raw Peanuts', 'Toor Dal', 'Sunflower Oils', 'Brinjals', 'Beans', 'Other Vegetables']",2456359.5,0.0,0.0,0.0
89,7468811,M39021,"['Other Dry Fruits', 'Avalakki / Poha', 'Sunflower Oils', 'Mosquito Repellent']",2456301.5,2456301.5,0.0,0.0
90,6728685,M47229,"['Brinjals', 'Other Vegetables', 'Sunflower Oils', 'Diapers & Wipes', 'Raw Peanuts', 'Root Vegetables', 'Beans', 'Urad Dal', 'Banana']",2456968.5,2456966.5,2456875.5,2456835.5
91,7981480,M47229,"['Beans', 'Banana', 'Bread', 'Gourd & Cucumber', 'Root Vegetables', 'Other Vegetables', 'Diapers & Wipes', 'Brinjals']",2456966.5,2456875.5,2456835.5,2456822.5
92,7868179,M47229,"['Diapers & Wipes', 'Moong Dal', 'Whole Spices', 'Root Vegetables', 'Gourd & Cucumber', 'Brinjals', 'Other Vegetables', 'Urad Dal', 'Banana', 'Beans']",2456875.5,2456835.5,2456822.5,2456807.5
93,6810613,M47229,"['Sooji & Rava', 'Beans', 'Gourd & Cucumber', 'Whole Spices', 'Brinjals', 'Toor Dal', 'Organic F&V', 'Other Vegetables', 'Banana', 'Raw Peanuts', 'Sunflower Oils', 'Root Vegetables', 'Organic Rice & Rice Products', 'Other Dals', 'Urad Dal', 'Moong Dal']",2456835.5,2456822.5,2456807.5,2456797.5
94,7885756,M47229,"['Beans', 'Other Vegetables', 'Root Vegetables', 'Bread', 'Almonds', 'Banana']",2456822.5,2456807.5,2456797.5,2456777.5
95,7902318,M47229,"['Root Vegetables', 'Beans', 'Other Dals', 'Brinjals', 'Cashews', 'Sunflower Oils', 'Banana', 'Toor Dal', 'Urad Dal', 'Raisins', 'Almonds', 'Other Vegetables']",2456807.5,2456797.5,2456777.5,2456768.5
96,7939582,M47229,"['Brinjals', 'Beans', 'Toor Dal', 'Root Vegetables', 'Banana', 'Health Drinks', 'Sunflower Oils', 'Organic Rice & Rice Products', 'Other Rice Products', 'Other Vegetables', 'Diapers & Wipes']",2456797.5,2456777.5,2456768.5,2456717.5
97,8015110,M47229,"['Beans', 'Health Drinks', 'Banana', 'Organic F&V', 'Root Vegetables', 'Other Vegetables']",2456777.5,2456768.5,2456717.5,2456707.5
98,8060426,M47229,"['Root Vegetables', 'Beans', 'Toor Dal', 'Moong Dal', 'Whole Spices', 'Banana', 'Sunflower Oils', 'Brinjals']",2456768.5,2456717.5,2456707.5,2456702.5
99,8273230,M47229,"['Other Vegetables', 'Raisins', 'Sunflower Oils', 'Avalakki / Poha', 'Jaggery', 'Root Vegetables', 'Organic F&V', 'Beans', 'Banana']",2456717.5,2456707.5,2456702.5,2456692.5
100,8176830,M47229,"['Organic F&V', 'Brinjals', 'Gourd & Cucumber', 'Toor Dal', 'Other Vegetables', 'Banana', 'Beans', 'Cashews', 'Root Vegetables', 'Urad Dal']",2456707.5,2456702.5,2456692.5,2456685.5
101,8166237,M47229,"['Banana', 'Other Vegetables', 'Sooji & Rava', 'Other Pooja Needs', 'Beans', 'Sunflower Oils', 'Diapers & Wipes', 'Cleaning & Dust Cloth', 'Urad Dal']",2456702.5,2456692.5,2456685.5,2456673.5
102,8080319,M47229,"['Other Dals', 'Brinjals', 'Sooji & Rava', 'Urad Dal', 'Beans', 'Root Vegetables', 'Toor Dal', 'Other Vegetables', 'Whole Spices', 'Banana', 'Avalakki / Poha', 'Sunflower Oils', 'Raw Rice', 'Raw Peanuts', 'Organic F&V']",2456692.5,2456685.5,2456673.5,2456652.5
103,8256521,M47229,"['Gourd & Cucumber', 'Diapers & Wipes', 'Health Drinks', 'Other Vegetables', 'Banana', 'Brinjals', 'Organic F&V', 'Whole Spices', 'Root Vegetables']",2456685.5,2456673.5,2456652.5,2456647.5
104,8234929,M47229,"['Toor Dal', 'Organic F&V', 'Diapers & Wipes', 'Moong Dal', 'Urad Dal', 'Sunflower Oils', 'Beans', 'Root Vegetables', 'Other Vegetables', 'Gourd & Cucumber']",2456673.5,2456652.5,2456647.5,2456640.5
105,8257806,M47229,"['Organic F&V', 'Cashews', 'Other Vegetables', 'Root Vegetables', 'Cookies', 'Banana']",2456652.5,2456647.5,2456640.5,2456623.5
106,8315358,M47229,"['Hair Conditioner', 'Avalakki / Poha', 'Whole Spices', 'Banana', 'Organic F&V', 'Other Dals', 'Urad Dal', 'Diapers & Wipes', 'Beans', 'Sooji & Rava', 'Brinjals', 'Toor Dal']",2456647.5,2456640.5,2456623.5,2456612.5
107,8302629,M47229,"['Root Vegetables', 'Sugar', 'Diapers & Wipes', 'Urad Dal', 'Raw Peanuts', 'Whole Spices', 'Beans', 'Gourd & Cucumber', 'Banana', 'Organic F&V', 'Other Vegetables', 'Brinjals']",2456640.5,2456623.5,2456612.5,2456592.5
108,8335213,M47229,"['Banana', 'Beans', 'Diapers & Wipes', 'Brinjals']",2456623.5,2456612.5,2456592.5,2456579.5
109,8381577,M47229,"['Banana', 'Diapers & Wipes', 'Beans', 'Root Vegetables']",2456612.5,2456592.5,2456579.5,2456563.5
110,7364862,M47229,"['Other Vegetables', 'Urad Dal', 'Other Oils', 'Root Vegetables', 'Brinjals', 'Banana', 'Beans', 'Tomato Ketchup', 'Gourd & Cucumber', 'Hair Conditioner', 'Cashews', 'Sooji & Rava']",2456592.5,2456579.5,2456563.5,2456556.5
111,7344026,M47229,"['Whole Spices', 'Beans', 'Toor Dal', 'Cashews', 'Sooji & Rava', 'Urad Dal', 'Gourd & Cucumber', 'Other Vegetables', 'Root Vegetables', 'Bread', 'Banana']",2456579.5,2456563.5,2456556.5,2456546.5
112,7381180,M47229,"['Beans', 'Diapers & Wipes', 'Urad Dal', 'Sunflower Oils', 'Boiled Rice', 'Cashews', 'Sooji & Rava', 'Toor Dal', 'Other Vegetables', 'Whole Spices', 'Health Drinks', 'Gourd & Cucumber', 'Root Vegetables', 'Raw Peanuts', 'Other Insect Repellent']",2456563.5,2456556.5,2456546.5,2456530.5
113,7436039,M47229,"['Sunflower Oils', 'Other Vegetables', 'Beans', 'Brinjals', 'Toor Dal', 'Root Vegetables', 'Banana']",2456556.5,2456546.5,2456530.5,2456452.5
