S.No.,Post office,Office type,Pincode
231,Naval Armament Depot - Aluva ,S.O,683563
232,Nayarambalam ,S.O,682509
233,Nayathode ,B.O,683572
234,Nazreth ,B.O,682507
235,Nechoor ,B.O,686664
236,Nedumbassery ,B.O,683585
237,Nedungad ,B.O,682509
238,Nedungapra ,B.O,683545
239,Neeleeswaram ,B.O,683574
240,Neendapara ,B.O,686693
241,Neericode ,B.O,683511
242,Nellad ,B.O,686669
243,Nellikuzhy ,B.O,686691
244,Nellimattam ,S.O,686693
245,Neriamangalam ,B.O,686693
246,Nettoor ,S.O,682040
247,Nirmala ,B.O,686673
248,Njayapalli ,B.O,686681
249,North End ,S.O,682009
250,North Piramadom ,B.O,686667
251,Ochanthuruth ,S.O,682508
252,Okkal ,S.O,683550
253,Oliyapuram ,B.O,686662
254,Onakkoor ,B.O,686667
255,Oonnukal ,B.O,686693
256,Ooramana ,B.O,686663
257,Pachalam ,S.O,682012
258,Paduvapuram ,B.O,683576
259,Paingarapilly ,B.O,682314
260,Paingattoor ,B.O,686671
261,Palakuzha ,B.O,686662
262,Palarivattom ,S.O,682025
263,Pallarimangalam ,B.O,686671
264,Palliport ,S.O,683515
265,Palluruthy ,S.O,682006
266,Palluruthy South ,B.O,682006
267,Pampakuda ,S.O,686667
268,Panaikulam ,B.O,683511
269,Panampilly Nagar ,S.O,682036
270,Panangad ,S.O,682506
271,Panayappilly ,S.O,682002
272,Pancode ,B.O,682310
273,Pandappily ,B.O,686672
274,Paniely ,B.O,683546
275,Panipra ,B.O,686692
276,Parakkadavu ,B.O,683579
277,Parappuram ,B.O,683575
278,Paravur Market ,S.O,683513
279,Paravur ,S.O,683513
280,Paravur Town ,S.O,683513
281,Pareekanni ,B.O,686693
282,Pattimattam ,B.O,683562
283,Pazhamthottam ,B.O,683565
284,Pazhoor ,B.O,686664
285,Periapuram ,B.O,686667
286,Peringala ,B.O,683565
287,Perumannoor(KGM) ,B.O,686693
288,Perumanur ,S.O,682015
289,Perumbadavam ,B.O,686665
290,Perumballoor ,B.O,686673
291,Perumbavoor ,H.O,683542
292,Perumbavoor South ,S.O,683542
293,Perumpilly ,B.O,682314
294,Pezhakkappilly ,B.O,686673
295,Pindimana ,B.O,686692
296,Piraroor ,B.O,683574
297,Piravom ,S.O,686664
298,Pizhala ,B.O,682027
299,Plamudi ,B.O,686692
300,Ponjassery ,B.O,683547
301,Poonithura ,S.O,682038
302,Poothotta ,B.O,682307
303,Poothrikka ,B.O,682308
304,Pooyamkutty ,B.O,686681
305,Pothanicaud ,S.O,686671
306,Pulickamaly ,B.O,682314
307,Pulinthanam ,B.O,686671
308,Puliyanam ,B.O,683572
309,Pulluvazhi ,B.O,683541
310,Puthencruz ,S.O,682308
311,Puthenvelikkara ,S.O,683594
312,Puthupadi ,B.O,686673
313,Puthuvype ,B.O,682508
314,Rajagiri ,B.O,683104
315,Rajagiri Valley ,S.O,682039
316,Ramamangalam ,S.O,686663
317,Randar ,B.O,686673
318,Rayamangalam ,B.O,683545
319,Rayonpuram ,S.O,683543
320,S.Aduvassery ,B.O,683578
321,S.Chellanam ,B.O,682008
322,Shanmugham Road ,S.O,682031
323,South Paravoor ,B.O,682307
324,South Vazhakulam ,B.O,683105
325,Sreemoolanagaram ,S.O,683580
326,Thabore ,B.O,683577
327,Thaikkattukara ,S.O,683106
328,Thalacode ,B.O,682314
329,Thalakode ,B.O,686693
330,Thammanam ,S.O,682032
331,Thathappilly ,B.O,683520
332,Thattekkad ,B.O,686681
333,Thazhvankunnam ,B.O,686668
334,Thekkenmarady ,B.O,686673
335,Thekkumbhagom ,B.O,682301
336,Thengod ,B.O,682030
337,Thevara ,S.O,682013
338,Thirumarady ,B.O,686662
339,Thirumarayoor ,B.O,682313
340,Thiruvamkulam ,S.O,682305
341,Thiruvaniyoor ,B.O,682308
342,Thoppumpady ,S.O,682005
343,Thottakkattukara ,S.O,683108
344,Thottumughom ,S.O,683105
345,Thrikkakara ,S.O,682021
346,Thrikkalathoor ,B.O,683541
347,Thrikkariyoor ,S.O,686692
348,Thuravoor ,B.O,683572
349,Thuravumkara ,B.O,683575
350,Thuruthippuram ,B.O,680667
351,Thuruthy ,B.O,683545
352,Tripunithura Fort ,S.O,682301
353,Tripunithura ,S.O,682301
354,Udayamperoor ,S.O,682307
355,Udyogamandal ,S.O,683501
356,Uliyannoor ,B.O,683108
357,Union Christian College ,S.O,683102
358,Urulanthanni ,B.O,686681
359,Vadacode ,B.O,682021
360,Vadacode Kailas Colony ,B.O,682021
361,Vadakkekara ,S.O,683522
362,Vadakkumpuram ,S.O,683521
363,Vadakode-vazhakulam ,B.O,686670
364,Vadattupara ,B.O,686681
365,Vadavucode ,S.O,682310
366,Vadayampadi ,B.O,682308
367,Vaduthala ,S.O,682023
368,Vaikkara ,B.O,683549
369,Valayanchirangara ,S.O,683556
370,Vallarpadam ,B.O,682504
371,Vappalassery ,B.O,683572
372,Varapetty ,B.O,686691
373,Varapuzha Landing ,B.O,683517
374,Varapuzha ,S.O,683517
375,Varikoli ,B.O,682308
376,Vattaparambu ,B.O,683579
377,Vazhakulam ,S.O,686670
378,Vazhappilly East ,B.O,686673
379,Veliyanad ,B.O,682313
380,Vellarappilly South ,B.O,683580
381,Vempilly ,B.O,683565
382,Vengola ,B.O,683556
383,Vengola West ,B.O,683556
384,Vengoor ,S.O,683546
385,Vennala ,S.O,682028
386,Vettampara ,B.O,686681
387,Vettickal ,B.O,682314
388,Vilangu ,B.O,683561
389,Vyttila ,S.O,682019
390,West Kadungalloor ,B.O,683110
391,West Veliyathunad ,B.O,683511
392,Willingdon Island ,S.O,682003
393,Yordhanapuram ,B.O,683574
